Hamiltonian (LongRangeSpinChain) for n=12 qubits:
0.0 * IIIIIIIIIIII
+ 1.0 * XXIIIIIIIIII
+ 1.0 * YYIIIIIIIIII
+ 1.0 * ZZIIIIIIIIII
+ 0.25 * XIXIIIIIIIII
+ 0.25 * YIYIIIIIIIII
+ 0.25 * ZIZIIIIIIIII
+ 0.1111111111111111 * XIIXIIIIIIII
+ 0.1111111111111111 * YIIYIIIIIIII
+ 0.1111111111111111 * ZIIZIIIIIIII
+ 0.0625 * XIIIXIIIIIII
+ 0.0625 * YIIIYIIIIIII
+ 0.0625 * ZIIIZIIIIIII
+ 0.04 * XIIIIXIIIIII
+ 0.04 * YIIIIYIIIIII
+ 0.04 * ZIIIIZIIIIII
+ 0.027777777777777776 * XIIIIIXIIIII
+ 0.027777777777777776 * YIIIIIYIIIII
+ 0.027777777777777776 * ZIIIIIZIIIII
+ 0.02040816326530612 * XIIIIIIXIIII
+ 0.02040816326530612 * YIIIIIIYIIII
+ 0.02040816326530612 * ZIIIIIIZIIII
+ 0.015625 * XIIIIIIIXIII
+ 0.015625 * YIIIIIIIYIII
+ 0.015625 * ZIIIIIIIZIII
+ 0.012345679012345678 * XIIIIIIIIXII
+ 0.012345679012345678 * YIIIIIIIIYII
+ 0.012345679012345678 * ZIIIIIIIIZII
+ 0.01 * XIIIIIIIIIXI
+ 0.01 * YIIIIIIIIIYI
+ 0.01 * ZIIIIIIIIIZI
+ 0.008264462809917356 * XIIIIIIIIIIX
+ 0.008264462809917356 * YIIIIIIIIIIY
+ 0.008264462809917356 * ZIIIIIIIIIIZ
+ 1.0 * IXXIIIIIIIII
+ 1.0 * IYYIIIIIIIII
+ 1.0 * IZZIIIIIIIII
+ 0.25 * IXIXIIIIIIII
+ 0.25 * IYIYIIIIIIII
+ 0.25 * IZIZIIIIIIII
+ 0.1111111111111111 * IXIIXIIIIIII
+ 0.1111111111111111 * IYIIYIIIIIII
+ 0.1111111111111111 * IZIIZIIIIIII
+ 0.0625 * IXIIIXIIIIII
+ 0.0625 * IYIIIYIIIIII
+ 0.0625 * IZIIIZIIIIII
+ 0.04 * IXIIIIXIIIII
+ 0.04 * IYIIIIYIIIII
+ 0.04 * IZIIIIZIIIII
+ 0.027777777777777776 * IXIIIIIXIIII
+ 0.027777777777777776 * IYIIIIIYIIII
+ 0.027777777777777776 * IZIIIIIZIIII
+ 0.02040816326530612 * IXIIIIIIXIII
+ 0.02040816326530612 * IYIIIIIIYIII
+ 0.02040816326530612 * IZIIIIIIZIII
+ 0.015625 * IXIIIIIIIXII
+ 0.015625 * IYIIIIIIIYII
+ 0.015625 * IZIIIIIIIZII
+ 0.012345679012345678 * IXIIIIIIIIXI
+ 0.012345679012345678 * IYIIIIIIIIYI
+ 0.012345679012345678 * IZIIIIIIIIZI
+ 0.01 * IXIIIIIIIIIX
+ 0.01 * IYIIIIIIIIIY
+ 0.01 * IZIIIIIIIIIZ
+ 1.0 * IIXXIIIIIIII
+ 1.0 * IIYYIIIIIIII
+ 1.0 * IIZZIIIIIIII
+ 0.25 * IIXIXIIIIIII
+ 0.25 * IIYIYIIIIIII
+ 0.25 * IIZIZIIIIIII
+ 0.1111111111111111 * IIXIIXIIIIII
+ 0.1111111111111111 * IIYIIYIIIIII
